,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
980248,980248,980248,980248,HX558966,0560,0560,0,1,523,5,08A,2014,2014-12-25,00:30:00,December,Thursday,Night,25,12,group2,25/12,47,207,73,2
523649,523649,523649,523649,HW777775,0810,0810,0,0,924,9,06,2013,2013-05-19,16:30:00,May,Sunday,Afternoon,19,5,group1,19/5,2833,127,83,0
1076606,1076606,1076606,1076606,HY349374,0560,0560,0,0,624,6,08A,2015,2015-07-21,08:40:00,July,Tuesday,Morning,21,7,group2,21/7,703,165,73,2
484889,484889,484889,484889,HW224780,1130,1130,0,0,1424,14,11,2013,2013-04-06,23:00:00,April,Saturday,Evening,6,4,group5,6/4,4485,324,121,1
775495,775495,775495,775495,HX212695,1811,1811,1,0,2521,25,18,2014,2014-04-06,01:07:00,April,Sunday,Night,6,4,group5,6/4,102,324,229,2
813933,813933,813933,813933,HX277210,0460,0460,0,0,1512,15,08B,2014,2014-05-26,13:30:00,May,Monday,Afternoon,26,5,group2,26/5,1931,223,39,0
101491,101491,101491,101491,HV134253,2825,2825,0,1,612,6,26,2012,2012-01-27,02:00:00,January,Friday,Night,27,1,group3,27/1,166,228,284,2
427206,427206,427206,427206,HW131056,0620,0620,1,0,1813,18,05,2013,2013-01-25,13:37:00,January,Friday,Afternoon,25,1,group1,25/1,1963,204,80,0
810654,810654,810654,810654,HX271705,1310,1310,0,0,1621,16,14,2014,2014-05-22,09:40:00,May,Thursday,Morning,22,5,group1,22/5,846,175,151,2
795347,795347,795347,795347,HX245668,0820,0820,0,0,2513,25,06,2014,2014-05-01,20:00:00,May,Thursday,Evening,1,5,group1,1/5,3915,7,84,1
920246,920246,920246,920246,HX454593,1320,1320,0,0,1422,14,14,2014,2014-10-04,06:50:00,October,Saturday,Morning,4,10,group1,4/10,517,295,152,2
1378737,1378737,1378737,1378737,HZ464952,1152,1152,0,0,213,2,11,2016,2016-09-09,15:07:00,September,Friday,Afternoon,9,9,group5,9/9,2403,365,126,0
683323,683323,683323,683323,HW541557,2825,2825,0,0,1913,19,26,2013,2013-11-17,12:47:00,November,Sunday,Afternoon,17,11,group3,17/11,1728,98,284,0
360718,360718,360718,360718,HV549091,0560,0560,0,0,1532,15,08A,2012,2012-11-05,12:30:00,November,Monday,Afternoon,5,11,group2,5/11,1635,308,73,0
1356075,1356075,1356075,1356075,HZ422788,0890,0890,0,0,1925,19,06,2016,2016-09-04,05:30:00,September,Sunday,Night,4,9,group1,4/9,412,305,95,2
1389149,1389149,1389149,1389149,HZ478314,0810,0810,0,0,621,6,06,2016,2016-10-16,19:30:00,October,Sunday,Evening,16,10,group1,16/10,3763,85,83,1
894592,894592,894592,894592,HX411191,0820,0820,0,0,1651,16,06,2014,2014-08-30,12:00:00,August,Saturday,Afternoon,30,8,group1,30/8,1493,285,84,0
1057787,1057787,1057787,1057787,HY316212,0486,0486,1,1,424,4,08B,2015,2015-06-26,01:19:00,June,Friday,Night,26,6,group2,26/6,115,224,51,2
990574,990574,990574,990574,HY199537,2024,2024,1,0,1021,10,18,2015,2015-03-26,18:52:00,March,Thursday,Evening,26,3,group5,26/3,3569,221,251,1
1401223,1401223,1401223,1401223,HZ498398,0890,0890,0,0,533,5,06,2016,2016-10-31,04:00:00,October,Monday,Night,31,10,group1,31/10,308,288,95,2
850195,850195,850195,850195,HX338341,0560,0560,1,0,332,3,08A,2014,2014-07-09,18:04:00,July,Wednesday,Evening,9,7,group2,9/7,3307,363,73,1
1132236,1132236,1132236,1132236,HY445688,1811,1811,1,0,421,4,18,2015,2015-10-01,16:03:00,October,Thursday,Afternoon,1,10,group5,1/10,2687,1,229,0
1311982,1311982,1311982,1311982,HZ344171,1310,1310,0,0,2411,24,14,2016,2016-07-11,06:05:00,July,Monday,Morning,11,7,group1,11/7,454,33,151,2
4106,4106,4106,4106,HZ256667,0486,0486,1,1,1923,19,08B,2016,2016-05-08,19:19:00,May,Sunday,Evening,8,5,group2,8/5,3703,349,51,1
267038,267038,267038,267038,HV402972,0880,0880,0,0,1911,19,06,2012,2012-07-27,15:38:00,July,Friday,Afternoon,27,7,group1,27/7,2565,237,94,0
749408,749408,749408,749408,HX167602,0470,0470,1,0,2234,22,24,2014,2014-02-28,13:43:00,February,Friday,Afternoon,28,2,group5,28/2,1980,244,42,0
71310,71310,71310,71310,HY182474,0560,0560,0,0,1122,11,08A,2015,2015-03-13,08:45:00,March,Friday,Morning,13,3,group2,13/3,718,53,73,2
1030927,1030927,1030927,1030927,HY269166,0820,0820,0,0,2234,22,06,2015,2015-05-20,13:30:00,May,Wednesday,Afternoon,20,5,group1,20/5,1931,151,84,0
1296948,1296948,1296948,1296948,HZ320609,0610,0610,0,0,1922,19,05,2016,2016-06-23,14:45:00,June,Thursday,Afternoon,23,6,group1,23/6,2295,188,79,0
1372277,1372277,1372277,1372277,HZ448395,4625,4625,1,0,832,8,26,2016,2016-09-24,22:42:00,September,Saturday,Evening,24,9,group3,24/9,4444,203,328,1
420519,420519,420519,420519,HW120559,1320,1320,0,0,1211,12,14,2013,2013-01-16,17:00:00,January,Wednesday,Afternoon,16,1,group1,16/1,2982,84,152,0
1282549,1282549,1282549,1282549,HZ295257,0486,0486,1,1,2532,25,08B,2016,2016-06-06,03:50:00,June,Monday,Night,6,6,group2,6/6,297,326,51,2
439701,439701,439701,439701,HW151670,1150,1150,0,0,925,9,11,2013,2013-02-08,19:30:00,February,Friday,Evening,8,2,group5,8/2,3763,346,124,1
557386,557386,557386,557386,HW340312,0460,0460,0,0,1211,12,08B,2013,2013-06-29,06:30:00,June,Saturday,Morning,29,6,group2,29/6,486,260,39,2
1411122,1411122,1411122,1411122,HZ518595,1154,1154,0,0,624,6,11,2016,2016-11-12,00:00:00,November,Saturday,Night,12,11,group5,12/11,0,38,128,2
833234,833234,833234,833234,HX310192,0610,0610,0,0,411,4,05,2014,2014-06-17,10:00:00,June,Tuesday,Morning,17,6,group1,17/6,906,104,79,2
368679,368679,368679,368679,HV562603,0486,0486,0,1,421,4,08B,2012,2012-11-15,05:30:00,November,Thursday,Night,15,11,group2,15/11,412,74,51,2
587856,587856,587856,587856,HW388978,0820,0820,0,0,1632,16,06,2013,2013-08-01,07:00:00,August,Thursday,Morning,1,8,group1,1/8,528,10,84,2
948779,948779,948779,948779,HX502594,0486,0486,0,1,913,9,08B,2014,2014-11-10,20:50:00,November,Monday,Evening,10,11,group2,10/11,4124,14,51,1
547655,547655,547655,547655,HW324756,0320,0320,1,0,111,1,03,2013,2013-06-18,17:04:00,June,Tuesday,Afternoon,18,6,group2,18/6,2999,116,20,0
59604,59604,59604,59604,HY160343,0460,0460,0,0,323,3,08B,2015,2015-02-22,17:31:00,February,Sunday,Afternoon,22,2,group2,22/2,3132,172,39,1
223118,223118,223118,223118,HV334856,2820,2820,0,0,1033,10,26,2012,2012-06-12,12:30:00,June,Tuesday,Afternoon,12,6,group3,12/6,1635,44,283,0
766579,766579,766579,766579,HX197617,0486,0486,0,1,2413,24,08B,2014,2014-03-24,23:40:00,March,Monday,Evening,24,3,group2,24/3,4562,197,51,1
529891,529891,529891,529891,HW296164,0486,0486,0,0,215,2,08B,2013,2013-05-29,22:15:00,May,Wednesday,Evening,29,5,group2,29/5,4379,259,51,1
